2024-06-29 16:33:50.868 +08 | INFO     | Line   22 (utils.py): Creating new log file on 2024-06-29.16:33:50
2024-06-29 16:35:05.965 +08 | INFO     | Line  157 (Model_Settings.py): New model prompts: {'prompt_sql': '### Task\nGenerate a SQL query to answer [QUESTION]{input}[/QUESTION]\n\n### Database Schema\nThe query will run on a database with the following schema:\n\n\n\n### Chat History\nRelevant chat history between user and assistant:\n\n{history}\n\n### Answer\nGiven the database schema, here is the SQL query that [QUESTION]{input}[/QUESTION]\n[SQL]\n', 'prompt_regen_sql': '### Task\nGiven an original incorrect SQL query, a question, and a detailed database schema, generate a CORRECT SQL query that can be executed on the provided schema to answer the question. \nThe regenerated SQL query should learn from the mistakes in the original query and strictly adhere to the database schema.\n\n### Database Schema\nThe query will run on a database with the following schema:\n\n{table_info}\n\n### Original Incorrect SQL Query\n\n{wrong_sql_query}\n\n### Question\n[QUESTION]{input}[/QUESTION]\n\n### Analysis of the Original Incorrect SQL Query\n[Provide a detailed analysis of the mistakes or issues in the original incorrect SQL query, such as:\n- Syntax errors\n- Incorrect table or column names\n- Misunderstanding of the schema or relationships\n- Logical errors or missing components\n- Violation of constraints or data types\n- Inefficient or suboptimal query structure]\n\n### Requirements for the Regenerated SQL Query\nThe regenerated SQL query should:\n1. Correctly answer the given question based on the database schema.\n2. Learn from the mistakes in the original incorrect SQL query and avoid repeating them.\n3. Strictly adhere to the database schema, using correct table and column names, respecting data types and constraints, and handling relationships appropriately.\n4. Follow best practices for SQL query structure, readability, and performance optimization.\n5. Include any necessary joins, filters, aggregations, or subqueries to retrieve the desired data.\n6. Ensure that the output is only the SQL query, without any additional text or explanation.\n7. Use the "ILIKE" operator more than the "=" operator to make the query case-insensitive for string comparisons.\n\n[SQL]\n', 'prompt_response': 'You are a helpful assistant that will generate human-readable response for a question based on sql query and sql results.\nYou MUST use ALL information provided in sql results below to generate human-readable response for question.\nYour response MUST NOT include any codes and be accurate and concise. Do not add on any additional information in your response.\n\n### Chat History\nRelevant chat history between user and assistant:\n\n{history}\n\n### Answer\n\nquestion : {question}\nsql query : {query}\nsql results : {results}\n\nHuman-readable response: \n'}
2024-06-29 16:35:07.684 +08 | ERROR    | Line  325 (Chat.py): Setup Fail. Error: Missing key {table_info} in prompt template of SQL Assistant
2024-06-29 16:35:10.655 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:35:10.660 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:10.662 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:35:10.664 +08 | ERROR    | Line  325 (Chat.py): Setup Fail. Error: Missing key {table_info} in prompt template of SQL Assistant
2024-06-29 16:35:27.352 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:35:27.358 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:27.360 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:35:27.361 +08 | ERROR    | Line  325 (Chat.py): Setup Fail. Error: Missing key {table_info} in prompt template of SQL Assistant
2024-06-29 16:35:29.001 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:35:29.005 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:29.006 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:35:29.009 +08 | ERROR    | Line  325 (Chat.py): Setup Fail. Error: Missing key {table_info} in prompt template of SQL Assistant
2024-06-29 16:35:34.138 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:35:34.144 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:34.145 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:35:34.147 +08 | ERROR    | Line  325 (Chat.py): Setup Fail. Error: Missing key {table_info} in prompt template of SQL Assistant
2024-06-29 16:35:46.269 +08 | INFO     | Line  156 (Model_Settings.py): Changing model prompts...
2024-06-29 16:35:46.271 +08 | INFO     | Line  157 (Model_Settings.py): New model prompts: {'prompt_sql': '### Task\nGenerate a SQL query to answer [QUESTION]{input}[/QUESTION]\n\n### Database Schema\nThe query will run on a database with the following schema:\n\n{table_info}\n\n### Chat History\nRelevant chat history between user and assistant:\n\n{history}\n\n### Answer\nGiven the database schema, here is the SQL query that [QUESTION]{input}[/QUESTION]\n[SQL]\n', 'prompt_regen_sql': '### Task\nGiven an original incorrect SQL query, a question, and a detailed database schema, generate a CORRECT SQL query that can be executed on the provided schema to answer the question. \nThe regenerated SQL query should learn from the mistakes in the original query and strictly adhere to the database schema.\n\n### Database Schema\nThe query will run on a database with the following schema:\n\n{table_info}\n\n### Original Incorrect SQL Query\n\n{wrong_sql_query}\n\n### Question\n[QUESTION]{input}[/QUESTION]\n\n### Analysis of the Original Incorrect SQL Query\n[Provide a detailed analysis of the mistakes or issues in the original incorrect SQL query, such as:\n- Syntax errors\n- Incorrect table or column names\n- Misunderstanding of the schema or relationships\n- Logical errors or missing components\n- Violation of constraints or data types\n- Inefficient or suboptimal query structure]\n\n### Requirements for the Regenerated SQL Query\nThe regenerated SQL query should:\n1. Correctly answer the given question based on the database schema.\n2. Learn from the mistakes in the original incorrect SQL query and avoid repeating them.\n3. Strictly adhere to the database schema, using correct table and column names, respecting data types and constraints, and handling relationships appropriately.\n4. Follow best practices for SQL query structure, readability, and performance optimization.\n5. Include any necessary joins, filters, aggregations, or subqueries to retrieve the desired data.\n6. Ensure that the output is only the SQL query, without any additional text or explanation.\n7. Use the "ILIKE" operator more than the "=" operator to make the query case-insensitive for string comparisons.\n\n[SQL]\n', 'prompt_response': 'You are a helpful assistant that will generate human-readable response for a question based on sql query and sql results.\nYou MUST use ALL information provided in sql results below to generate human-readable response for question.\nYour response MUST NOT include any codes and be accurate and concise. Do not add on any additional information in your response.\n\n### Chat History\nRelevant chat history between user and assistant:\n\n{history}\n\n### Answer\n\nquestion : {question}\nsql query : {query}\nsql results : {results}\n\nHuman-readable response: \n'}
2024-06-29 16:35:50.238 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:35:50.242 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:50.243 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:35:59.794 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:35:59.795 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique '}
2024-06-29 16:36:04.536 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:36:04.538 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:36:04.539 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:36:05.221 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:36:05.222 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:36:05.223 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique '}
2024-06-29 16:39:10.491 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:39:10.494 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:39:10.496 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:39:15.879 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:39:15.882 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:39:15.883 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:39:18.165 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:39:18.168 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:39:18.169 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:41:10.144 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:10.149 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:10.150 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:41:13.764 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:13.767 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:13.769 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:41:15.638 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:15.641 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:15.643 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:41:17.541 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:17.544 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:17.544 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:41:20.228 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:20.233 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:20.234 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
2024-06-29 16:41:22.493 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:22.496 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:22.497 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': True, 'db_schema': 'CREATE TABLE products (\n\tproduct_id INTEGER PRIMARY KEY, -- Unique ID for each product\n\tname VARCHAR(50), -- Name of the product\n\tquantity INTEGER  -- Current quantity in stock\n);\n'}
2024-06-29 16:41:24.462 +08 | INFO     | Line   41 (setup.py): Changing mode...
2024-06-29 16:41:24.465 +08 | INFO     | Line  118 (setup.py): Changing configs...
2024-06-29 16:41:24.466 +08 | INFO     | Line  119 (setup.py): New configs: {'db_schema_mode': False, 'db_type': 'SQLite', 'db_name_sqlite': 'Chinook.db'}
